Name,IC Number,Gender,Date,Time,State
Doug Morris,711-86-5835,Female,3/17/2021,6:56 PM,Selangor
Russel Kennedy,168-46-1504,Male,12/24/2021,4:12 PM,Terengganu
Erick Jarvis,475-80-3728,Female,1/24/2021,4:27 AM,Perak
Jacob Rothwell,182-03-8406,Female,6/22/2021,6:37 AM,Pahang
Matthew Whinter,458-30-3146,Male,8/17/2021,9:49 AM,Kedah
Nicholas Mullins,165-77-0587,Male,9/5/2021,7:36 AM,Malacca
Denny Rogers,827-12-2777,Female,5/24/2021,7:33 AM,Sabah
Benny Hunter,838-74-6611,Male,10/6/2021,5:38 PM,Sarawak
Julian Watson,032-18-2280,Male,4/24/2021,8:24 PM,Terengganu
Ethan Kennedy,545-48-0458,Female,8/15/2021,3:35 PM,Terengganu
Jacob Rainford,134-15-1472,Female,2/8/2021,3:41 PM,Malacca
Denis James,126-83-1827,Female,2/24/2021,4:18 AM,Terengganu
Chuck Baldwin,504-22-3008,Female,3/21/2021,5:13 PM,Kelantan
Benny Baker,348-66-0643,Male,5/5/2021,3:38 AM,Perak
Denis Willson,858-27-3030,Female,11/14/2021,12:32 PM,Kedah
Johnny Malone,487-50-4755,Female,3/30/2021,12:27 AM,Sarawak
Boris Lloyd,254-44-2750,Female,6/7/2021,1:36 AM,Johor
Leroy Moore,485-66-6440,Male,9/1/2021,9:12 AM,Selangor
Chuck Powell,447-15-1387,Male,10/4/2021,7:43 PM,Malacca
Bryon Glass,086-82-1353,Male,9/4/2021,6:30 PM,Malacca
Tony Speed,258-11-3454,Male,8/24/2021,1:16 AM,Sabah
Carter Quinn,480-13-6202,Female,1/4/2021,7:46 PM,Johor
Cedrick Price,830-58-5762,Female,8/26/2021,7:55 PM,Sarawak
Brad Cameron,215-33-6114,Male,2/9/2021,1:31 AM,Sabah
Jacob Little,883-82-0607,Male,3/2/2021,8:12 AM,Negeri Sembilan
Mason Morgan,634-10-2863,Female,6/12/2021,6:26 AM,Sabah
Russel Eastwood,588-36-7352,Female,4/25/2021,6:47 PM,Sabah
Joseph Lee,416-62-4806,Female,3/16/2021,1:46 PM,Malacca
Ryan Gilmour,011-15-8545,Male,11/23/2021,5:39 AM,Kedah
Nick Robinson,561-42-0110,Male,5/23/2021,1:33 PM,Kelantan
Daron Olivier,032-44-8431,Male,12/26/2021,12:39 AM,Selangor
Rufus Porter,504-46-6850,Female,12/12/2021,6:58 PM,Pahang
Oliver Whatson,803-05-8458,Female,7/21/2021,6:58 PM,Perlis
Martin Selby,080-85-0016,Male,10/13/2021,2:26 AM,Kelantan
Chadwick Glass,163-35-0000,Female,11/16/2021,8:06 AM,Selangor
Clint Jenkin,256-88-6364,Male,5/22/2021,2:35 PM,Sabah
Tom Donovan,558-82-7763,Female,12/17/2021,2:27 PM,Sarawak
Julian Redfern,444-63-0864,Male,11/19/2021,7:57 PM,Sabah
Bob Exton,133-38-7001,Male,9/12/2021,9:13 AM,Kedah
Josh Benson,720-25-3164,Female,6/1/2021,1:16 AM,Pahang
Alexander Connor,341-31-3736,Male,2/24/2021,8:07 AM,Sarawak
Carter Reynolds,542-05-8038,Male,6/9/2021,8:55 PM,Sabah
Nicholas Jackson,622-43-8861,Female,11/27/2021,8:18 PM,Kedah
Enoch Anderson,726-55-8341,Female,5/2/2021,12:29 AM,Negeri Sembilan
Javier Snell,724-17-6685,Male,8/2/2021,12:54 PM,Malacca
